0	A	26	31
1	V1	5	33
2	V2	8	9
3	V3	10	24
4	V4	13	34
5	V5	17	23
6	V6	20	10
7	V7	25	47
8	V8	31	18
9	V9	35	42
10	V10	36	25
11	V11	41	31
12	V12	45	38
13	P1	41	35
14	P2	40	34
15	P3	38	35
16	P4	38	37
17	P5	33	37
18	P6	31	36
19	P7	33	35
20	P8	28	32
21	P9	24	30
22	P10	21	31
23	P11	22	27
24	P12	28	29
25	P13	43	37
26	P14	44	39
27	P15	25	27
28	P16	21	29
29	P17	22	30
30	P18	24	32
31	P19	37	33
32	P20	38	33
33	P21	37	36
34	P22	14	13
35	P23	16	9
36	P24	14	7
37	P25	18	14
38	P26	12	6
39	P27	15	14
40	P28	20	13
41	P29	13	46
42	P30	16	39
43	P31	21	39
44	P32	26	44
45	P33	28	40
46	P34	27	42
47	P35	29	38
48	P36	29	44
49	P37	36	44
50	P38	41	40
51	P39	39	52
52	P40	27	49
53	P41	23	46
54	P42	20	46
55	P43	16	46
56	P44	22	44
57	P45	40	44
58	P46	42	40
59	P47	37	42
60	P48	35	49
61	P49	35	51
62	P50	35	52
63	P51	34	55
64	P52	26	53
65	P53	27	51
66	P54	31	51
67	P55	31	45
68	P56	31	41
69	P57	28	45
70	P58	27	35
71	P59	24	38
72	P60	26	39
73	P61	13	37
74	P62	17	36
75	P63	21	41
76	P64	18	41
77	P65	21	43
78	P66	13	39
79	P67	14	43
80	P68	12	43
81	P69	10	44
82	P70	16	44
83	P71	18	44
84	P72	24	44
85	P73	25	49
86	P74	24	49
87	P75	24	51
88	P76	21	48
89	P77	17	51
90	P78	10	34
91	P79	9	35
92	P80	7	37
93	P81	4	37
94	P82	5	42
95	P83	2	44
96	P84	7	32
97	P85	7	30
98	P86	1	24
99	P87	2	16
100	P88	3	18
101	P89	2	20
102	P90	4	24
103	P91	5	28
104	P92	6	24
105	P93	9	29
106	P94	2	33
107	P95	7	34
108	P96	3	30
109	P97	3	41
110	P98	10	36
111	P99	17	34
112	P100	20	22
113	P101	24	21
114	P102	22	17
115	P103	21	16
116	P104	27	19
117	P105	26	16
118	P106	9	16
119	P107	12	17
120	P108	14	15
121	P109	19	26
122	P110	14	28
123	P111	13	25
124	P112	9	19
125	P113	2	1
126	P114	6	6
127	P115	7	8
128	P116	6	14
129	P117	5	17
130	P118	5	16
131	P119	16	19
132	P120	26	13
133	P121	29	11
134	P122	31	14
135	P123	28	17
136	P124	20	19
137	P125	17	22
138	P126	15	23
139	P127	21	23
140	P128	24	23
141	P129	26	23
142	P130	25	25
143	P131	15	31
144	P132	15	29
145	P133	10	28
146	P134	38	26
147	P135	37	25
148	P136	33	21
149	P137	40	24
150	P138	44	44
151	P139	41	31
152	P140	33	24
153	P141	32	27
154	P142	40	14
155	P143	42	26
156	P144	45	33
157	P145	29	23
158	P146	31	30
159	P147	30	25
160	P148	31	23
161	P149	35	15
162	P150	40	16
163	P151	40	20
164	P152	37	20
165	P153	35	24
166	P154	43	23
167	P155	45	26
168	P156	37	28
169	P157	35	28
170	P158	33	29
171	P159	37	30
172	P160	39	30
173	P161	41	29
174	P162	43	31
175	P163	47	34
176	P164	46	43
177	P165	42	43
178	P166	48	45
179	P167	42	44
180	P168	43	50
